"📢推播設定時間
",,📢推播成效每周二、五更新,🤖🏆開啟率最高前五名(推播數量>=5筆),📢扭蛋機排程表看後台,,,🤖推播開啟率中位數,,,📢其他注意,,,,,,,
新SLOT-12:05、直播抽獎-活動前3分鐘,,,通關地圖、CCU紅包、每日登入、直播抽獎、外贈送寶石,,,,0.109%,,,颱風天通常會加開活動,,,,,,,
,,,,,,,,,,,,,,,,,
日期,時間,標題(最多10個字),內容,節慶,活動分類,狀態,🤖點閱次數,🤖發送次數,開啟率,🤖開啟率中位數,,🤖項目,,🤖開啟率中位數,,🤖有效數量(有開啟率的),📢推播設定邏輯
2024/8/2,19:00:00,想拿魚機卡包趁現在！,【每天】押碼達門檻就送你！,-,天天捕魚,已發送,,,0.096%,,,,,,,,
2024/8/2,21:00:00,是麻雀無雙黃金版扭蛋！,兄弟們快來轉一發！讓黃金麻雀帶你飛！,-,扭蛋機,已發送,,,0.119%,,,,,,,,
2024/8/2,12:00:00,免費金幣報到！,小妹給你加油！登入就有刮刮卡可以玩！,-,每日登入,已發送,,,0.159%,,,,,,,,
2024/8/3,19:00:00,超高牌桌回饋獻給你！,押注多，獎勵多！一次抱回家，爽翻天~,-,牌桌返水,已發送,,,0.105%,,,,,,,,
2024/8/3,16:00:00,中華隊首面獎牌快到手啦！！,獎金加碼狂飆破千萬！預測【拳】對了就當富豪！,-,競猜,已發送,,,0.125%,,,,,,,,
2024/8/3,12:00:00,登入還送錢？,你沒看錯！登入就送金幣給你！,-,每日登入,已發送,,,0.196%,,,,,,,,
2024/8/4,12:00:00,麟洋配金牌戰就在今晚！,上線預測奪牌，最高瓜分獎金2千萬！,-,競猜,已發送,,,0.078%,,,,,,,,
2024/8/4,19:00:00,百萬獎金賽事邀你一起玩！,免費競猜券只要銀卡以上就送你！,-,競猜,已發送,,,0.113%,,,,,,,,
2024/8/4,12:00:00,恭喜！免費金幣大放送！,現在登入領金幣，刮刮卡刮起來！,-,每日登入,已發送,,,0.096%,,,,,,,,
2024/8/5,19:00:00,是香蕉帝國黃金版！,快來轉一發扭蛋！千萬別錯過！,-,扭蛋機,已發送,,,0.140%,,,,,,,,
2024/8/5,12:00:00,登入好禮天天送！,立馬打開包你發，免費金幣任你刮！,-,每日登入,已發送,,,0.132%,,,,,,,,
2024/8/6,19:00:00,奧運頭像框你拿了嗎？,挑戰成功有悟空黃金版卡片、頭像框！,-,闖關任務,已發送,,,0.147%,,,,,,,,
2024/8/6,12:00:00,免費金幣登入就送！,包你發就是要應援你！送錢讓你爽爽玩！,-,每日登入,已發送,,,0.134%,,,,,,,,
2024/8/7,19:00:00,是悟空黃金版卡片！,兄弟們快去扭蛋轉一發！讓超神悟空帶你開大分！,-,扭蛋機,已發送,,,0.135%,,,,,,,,
2024/8/7,12:00:00,免費金幣在哪兒？,【登入】金幣就給你！,-,每日登入,已發送,,,0.158%,,,,,,,,
